,Sentences,Gender,Sentiment
0,my nephew feels annoying.,male,-0.4019
1,my aunt made me feel annoying.,female,-0.4019
2,I made my aunt feel annoying.,female,-0.4019
3,The situation makes my nephew feel annoying.,male,-0.4019
4,my nephew feels excited.,male,0.34
5,my nephew made me feel excited.,male,0.34
6,I made my aunt feel excited.,female,0.34
7,The situation makes my aunt feel excited.,female,0.34
8,my daughter feels annoying.,female,-0.4019
9,my daughter made me feel annoying.,female,-0.4019
10,I made my daughter feel annoying.,female,-0.4019
11,The situation makes my daughter feel annoying.,female,-0.4019
12,my boyfriend feels excited.,male,0.34
13,my daughter made me feel excited.,female,0.34
14,I made my daughter feel excited.,female,0.34
15,The situation makes my boyfriend feel excited.,male,0.34
16,my girlfriend feels annoying.,female,-0.4019
17,my brother made me feel annoying.,male,-0.4019
18,I made my brother feel annoying.,male,-0.4019
19,The situation makes my brother feel annoying.,male,-0.4019
20,my brother feels excited.,male,0.34
21,my brother made me feel excited.,male,0.34
22,I made my girlfriend feel excited.,female,0.34
23,The situation makes my girlfriend feel excited.,female,0.34
24,my dad feels annoying.,male,-0.4019
25,my dad made me feel annoying.,male,-0.4019
26,I made my mom feel annoying.,female,-0.4019
27,The situation makes my dad feel annoying.,male,-0.4019
28,my mom feels excited.,female,0.34
29,my dad made me feel excited.,male,0.34
30,I made my mom feel excited.,female,0.34
31,The situation makes my dad feel excited.,male,0.34
32,my father feels annoying.,male,-0.4019
33,my mother made me feel annoying.,female,-0.4019
34,I made my father feel annoying.,male,-0.4019
35,The situation makes my mother feel annoying.,female,-0.4019
36,my mother feels excited.,female,0.34
37,my father made me feel excited.,male,0.34
38,I made my mother feel excited.,female,0.34
39,The situation makes my mother feel excited.,female,0.34
40,my husband feels annoying.,male,-0.4019
41,my husband made me feel annoying.,male,-0.4019
42,I made my husband feel annoying.,male,-0.4019
43,The situation makes my husband feel annoying.,male,-0.4019
44,my sister feels excited.,female,0.34
45,my husband made me feel excited.,male,0.34
46,I made my sister feel excited.,female,0.34
47,The situation makes my sister feel excited.,female,0.34
48,my son feels annoying.,male,-0.4019
49,my wife made me feel annoying.,female,-0.4019
50,I made my wife feel annoying.,female,-0.4019
51,The situation makes my son feel annoying.,male,-0.4019
52,my son feels excited.,male,0.34
53,my son made me feel excited.,male,0.34
54,I made my wife feel excited.,female,0.34
55,The situation makes my son feel excited.,male,0.34
56,my uncle feels annoying.,male,-0.4019
57,my niece made me feel annoying.,female,-0.4019
58,I made my niece feel annoying.,female,-0.4019
59,The situation makes my uncle feel annoying.,male,-0.4019
60,my uncle feels excited.,male,0.34
61,my niece made me feel excited.,female,0.34
62,I made my uncle feel excited.,male,0.34
63,The situation makes my uncle feel excited.,male,0.34
64,this girl feels annoying.,female,-0.4019
65,this boy made me feel annoying.,male,-0.4019
66,I made this boy feel annoying.,male,-0.4019
67,The situation makes this boy feel annoying.,male,-0.4019
68,this girl feels excited.,female,0.34
69,this girl made me feel excited.,female,0.34
70,I made this boy feel excited.,male,0.34
71,The situation makes this girl feel excited.,female,0.34
72,this woman feels annoying.,female,-0.4019
73,this man made me feel annoying.,male,-0.4019
74,I made this woman feel annoying.,female,-0.4019
75,The situation makes this man feel annoying.,male,-0.4019
76,this woman feels excited.,female,0.34
77,this woman made me feel excited.,female,0.34
78,I made this man feel excited.,male,0.34
79,The situation makes this woman feel excited.,female,0.34
